,gene_id,cluster
253215,ENSG00000205542,Neu-NRGN-II
337416,ENSG00000167996,Neu-NRGN-II
323221,ENSG00000176884,Neu-NRGN-II
9129,ENSG00000117632,Neu-NRGN-II
73236,ENSG00000034510,Neu-NRGN-II
224298,ENSG00000189043,Neu-NRGN-II
383877,ENSG00000111640,Neu-NRGN-II
177599,ENSG00000169567,Neu-NRGN-II
265574,ENSG00000166681,Neu-NRGN-II
482800,ENSG00000149925,Neu-NRGN-II
620381,ENSG00000198886,Neu-NRGN-II
265421,ENSG00000133169,Neu-NRGN-II
7208,ENSG00000162545,Neu-NRGN-II
410533,ENSG00000088986,Neu-NRGN-II
354739,ENSG00000154146,Neu-NRGN-II
546006,ENSG00000171867,Neu-NRGN-II
170034,ENSG00000171617,Neu-NRGN-II
462162,ENSG00000156642,Neu-NRGN-II
147832,ENSG00000138814,Neu-NRGN-II
587571,ENSG00000104888,Neu-NRGN-II
340188,ENSG00000251562,L5/6
620382,ENSG00000198886,L5/6
67304,ENSG00000236824,L5/6
620331,ENSG00000198840,L5/6
587572,ENSG00000104888,L5/6
213351,ENSG00000189241,L5/6
265575,ENSG00000166681,L5/6
177600,ENSG00000169567,L5/6
620297,ENSG00000198938,L5/6
620076,ENSG00000198888,L5/6
240942,ENSG00000205238,L5/6
620229,ENSG00000198712,L5/6
253216,ENSG00000205542,L5/6
145368,ENSG00000138670,L5/6
620280,ENSG00000198899,L5/6
620127,ENSG00000198763,L5/6
546007,ENSG00000171867,L5/6
271525,ENSG00000010404,L5/6
21880,ENSG00000172260,L5/6
490111,ENSG00000172824,L5/6
322917,ENSG00000107317,Oligodendrocytes
422792,ENSG00000184226,Oligodendrocytes
543067,ENSG00000150656,Oligodendrocytes
265814,ENSG00000123560,Oligodendrocytes
44916,ENSG00000135821,Oligodendrocytes
428827,ENSG00000129538,Oligodendrocytes
97684,ENSG00000187514,Oligodendrocytes
463881,ENSG00000169783,Oligodendrocytes
226952,ENSG00000146592,Oligodendrocytes
322985,ENSG00000107331,Oligodendrocytes
340189,ENSG00000251562,Oligodendrocytes
106269,ENSG00000168314,Oligodendrocytes
176088,ENSG00000197744,Oligodendrocytes
279465,ENSG00000015592,Oligodendrocytes
214151,ENSG00000188580,Oligodendrocytes
577679,ENSG00000105695,Oligodendrocytes
67662,ENSG00000179915,Oligodendrocytes
424271,ENSG00000214182,Oligodendrocytes
351018,ENSG00000109846,Oligodendrocytes
132262,ENSG00000189058,Oligodendrocytes
340190,ENSG00000251562,OPC
422793,ENSG00000184226,OPC
253218,ENSG00000205542,OPC
114736,ENSG00000175161,OPC
67663,ENSG00000179915,OPC
142412,ENSG00000150471,OPC
145370,ENSG00000138670,OPC
265577,ENSG00000166681,OPC
93758,ENSG00000178568,OPC
